percentile,rating
0.0, 1.0
0.01, 2.8
0.02, 3.3
0.03, 3.6
0.04, 3.8
0.05, 4.1
0.06, 4.2
0.07, 4.3
0.08, 4.4
0.09, 4.5
0.1, 4.6
0.11, 4.7
0.12, 4.8
0.13, 4.9
0.14, 5.0
0.15, 5.1
0.16, 5.1
0.17, 5.2
0.18, 5.2
0.19, 5.3
0.2, 5.3
0.21, 5.4
0.22, 5.4
0.23, 5.5
0.24, 5.5
0.25, 5.5
0.26, 5.6
0.27, 5.6
0.28, 5.7
0.29, 5.7
0.3, 5.7
0.31, 5.8
0.32, 5.8
0.33, 5.8
0.34, 5.9
0.35, 5.9
0.36, 6.0
0.37, 6.0
0.38, 6.0
0.39, 6.1
0.4, 6.1
0.41, 6.1
0.42, 6.1
0.43, 6.2
0.44, 6.2
0.45, 6.2
0.46, 6.2
0.47, 6.3
0.48, 6.3
0.49, 6.3
0.5, 6.4
0.51, 6.4
0.52, 6.4
0.53, 6.4
0.54, 6.5
0.55, 6.5
0.56, 6.5
0.57, 6.5
0.58, 6.6
0.59, 6.6
0.6, 6.6
0.61, 6.7
0.62, 6.7
0.63, 6.7
0.64, 6.7
0.65, 6.8
0.66, 6.8
0.67, 6.8
0.68, 6.8
0.69, 6.9
0.7, 6.9
0.71, 6.9
0.72, 7.0
0.73, 7.0
0.74, 7.0
0.75, 7.0
0.76, 7.1
0.77, 7.1
0.78, 7.1
0.79, 7.2
0.8, 7.2
0.81, 7.2
0.82, 7.2
0.83, 7.3
0.84, 7.3
0.85, 7.3
0.86, 7.4
0.87, 7.4
0.88, 7.5
0.89, 7.5
0.9, 7.5
0.91, 7.6
0.92, 7.6
0.93, 7.7
0.94, 7.8
0.95, 7.8
0.96, 7.9
0.97, 8.1
0.98, 8.2
0.99, 8.4
1.0, 9.8
